"","c.simbolos...21..","PEAK_apph_phy","MEDIA_apph_phy","PEAK_apps_phy","MEDIA_apps_phy","MEDIA_qy_phy","PEAK_apph_dia","MEDIA_apph_dia","PEAK_apps_dia","MEDIA_apps_dia","MEDIA_qy_dia","apps","apph"
"1","a",0.0411,0.0192625,0.0277,0.0151416666666667,0.00010701400354675,0.026,0.0130875,0.026,0.0130875,0.000168028582546252,0.015,0.018
"2","b",0.0491,0.023,0.0128,0.00699583333333333,0.00023161935014228,0.0139,0.0070125,0.0139,0.0070125,0.000313593450848353,0.007,0.021
"3","c",0.064,0.0299958333333333,0.0128,0.00699583333333333,0.00023161935014228,0.0139,0.0070125,0.0139,0.0070125,0.000313593450848353,0.007,0.027
"4","d",0.032,0.015,0.0274,0.0149833333333333,0.00010814485230503,0.0298,0.0149875,0.0298,0.0149875,0.000146727210947394,0.015,0.015
"5","e",0.0491,0.023,0.0274,0.0149833333333333,0.00010814485230503,0.0298,0.0149875,0.0298,0.0149875,0.000146727210947394,0.015,0.022
"6","f",0.064,0.0299958333333333,0.0274,0.0149833333333333,0.00010814485230503,0.0298,0.0149875,0.0298,0.0149875,0.000146727210947394,0.015,0.028
"7","g",0.0491,0.023,0.0421,0.0229958333333333,7.04636508224115e-05,0.0457,0.0229916666666667,0.0457,0.0229916666666667,9.56465708187346e-05,0.023,0.023
"8","h",0.064,0.0299958333333333,0.0421,0.0229958333333333,7.04636508224115e-05,0.0457,0.0229916666666667,0.0457,0.0229916666666667,9.56465708187346e-05,0.023,0.029
"9","i",0.0256,0.0119958333333333,0.0165,0.0089875,0.000180291557203936,0.0139,0.0070125,0.0139,0.0070125,0.000313593450848353,0.009,0.011
"10","j",0.0341,0.0159833333333333,0.0165,0.0089875,0.000180291557203936,0.0139,0.0070125,0.0139,0.0070125,0.000313593450848353,0.009,0.015
"11","k",0.0448,0.0210041666666667,0.0165,0.0089875,0.000180291557203936,0.0139,0.0070125,0.0139,0.0070125,0.000313593450848353,0.009,0.019
"12","l",0.0448,0.0210041666666667,0.0276,0.0151125,0.000107220537328064,0.026,0.0130875,0.026,0.0130875,0.000168028582546252,0.015,0.02
"13","m",0.0555,0.0260083333333333,0.0276,0.0151125,0.000107220537328064,0.026,0.0130875,0.026,0.0130875,0.000168028582546252,0.015,0.024
"14","n",0.064,0.0299958333333333,0.0276,0.0151125,0.000107220537328064,0.026,0.0130875,0.026,0.0130875,0.000168028582546252,0.015,0.027
"15","o",0.064,0.0299958333333333,0.0457,0.0249958333333333,6.48256190846623e-05,0.0417,0.0210166666666667,0.0417,0.0210166666666667,0.000104634769583223,0.024,0.028
"16","p",0.0747,0.035,0.0457,0.0249958333333333,6.48256190846623e-05,0.0417,0.0210166666666667,0.0417,0.0210166666666667,0.000104634769583223,0.024,0.033
"17","q",0.0853,0.0400041666666667,0.0457,0.0249958333333333,6.48256190846623e-05,0.0417,0.0210166666666667,0.0417,0.0210166666666667,0.000104634769583223,0.024,0.036
"18","r",0.0853,0.0400041666666667,0.0457,0.0249958333333333,6.48256190846623e-05,0.026,0.0130875,0.026,0.0130875,0.000168028582546252,0.023,0.035
"19","s",0.0853,0.0400041666666667,0.0457,0.0249958333333333,6.48256190846623e-05,0.0139,0.0070125,0.0139,0.0070125,0.000313593450848353,0.022,0.035
"20","t",0.0448,0.0210041666666667,0.0276,0.0151125,0.000107220537328064,0.0139,0.0070125,0.0139,0.0070125,0.000313593450848353,0.014,0.019
"21","21",0.0411,0.0192625,0.0277,0.0151416666666667,0.00010701400354675,0.026,0.0130875,0.026,0.0130875,0.000168028582546252,0.015,0.018
